Raleigh-Durham,Wash D.C.,Jacksonville,Edmonton
37.94,31.46,48.47,-14.26
45.05,33.08,55.49,-12.28
46.94,32.99,61.97,2.84
34.52,31.01,62.06,15.8
44.51,31.55,68,17.6
53.51,39.56,68,20.39
49.01,46.04,63.5,24.35
54.5,43.52,67.46,22.1
57.56,50.99,59.54,21.92
47.03,48.47,55.04,20.12
42.53,41.99,50.99,26.69
44.06,40.01,47.03,26.6
51.98,40.01,52.52,27.95
58.46,52.52,62.51,18.77
59,56.03,66.02,18.23
45.95,46.58,61.52,24.44
46.49,43.52,65.48,26.42
41,41,68,23.81
39.92,36.5,60.98,12.29
44.51,39.02,59.45,17.87
40.01,42.98,59,10.85
39.56,38.03,55.04,7.61
39.47,37.94,61.52,-0.94
36.5,39.02,46.49,8.42
31.55,39.02,36.05,25.88
36.95,27.5,40.55,25.97
49.55,39.02,51.53,19.4
52.52,42.44,61.97,23.27
50,45.95,66.47,17.78
52.52,43.43,63.5,26.69
52.43,41.99,62.96,20.57
43.52,43.52,70.43,25.25
39.47,38.48,50.45,19.04
42.98,39.56,55.49,27.32
55.49,41.99,60.98,27.86
59.45,51.53,74.48,28.67
64.04,57.47,72.05,21.02
44.51,47.93,51.08,12.47
39.47,40.55,48.47,-3.91
41,39.56,63.5,1.49
53.51,49.01,65.48,5.36
66.02,48.47,72.5,-0.4
52.52,54.95,73.04,8.96
58.01,60.98,75.47,29.57
43.97,51.44,58.01,29.84
41.99,39.02,57.02,24.35
40.46,36.5,55.49,10.76
51.98,41,66.92,24.53
61.52,55.04,65.48,28.49
50.45,60.98,70.52,38.12
48.02,46.49,62.96,30.83
47.48,41.99,67.55,25.16
57.56,52.52,68,33.17
67.55,55.94,66.56,32.54
68.99,68,69.98,27.05
68.99,66.02,67.55,26.33
68.99,65.93,69.53,34.61
68.45,52.97,69.98,29.03
63.95,63.05,68,33.26
65.03,61.52,68.99,26.15
69.44,65.48,68.54,24.26
67.55,66.02,69.44,27.86
69.53,64.94,71.51,26.06
71.51,67.01,72.5,19.04
63.5,73.58,68.45,16.34
61.97,57.02,66.47,30.2
