CODE,COUNTRY,CHNONCATPCT,CHCATPCT,JDGENPCT,ISGENPCT,BUGENPCT,ZOGENPCT,HIGENPCT,SIGENPCT,SHGENPCT,BAGENPCT,TAGENPCT,JAGENPCT,COGENPCT,SYGENPCT,ANGENPCT,NORELPCT,OTGENPCT
SEN,Senegal,0.0018,0.0331,0,0.9389,0.0001,0,0,0,0,0.0019,0,0,0,0,0.02,0.0017,0.0025
SRB,Serbia,0.8625,0.0497,0.0001,0.031,0,0,0,0,0,0,0,0,0,0,0,0.0528,0.0039
SYC,Seychelles,0.1365,0.8,0,0.0168,0.0038,0.0002,0.0251,0,0,0.006,0.0007,0,0,0,0,0.0097,0.0011
SLE,Sierra Leone,0.1185,0.072,0,0.5532,0,0,0.0005,0,0,0.0007,0,0,0,0,0.2374,0.0122,0.0054
SGP,Singapore,0.112,0.0701,0.0001,0.1422,0.3303,0,0.0505,0.0034,0,0.0012,0.1085,0,0,0.0626,0,0.1178,0.0014
SVK,Slovakia,0.1346,0.6202,0.0004,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0,0.1344,0.11
SVK,Slovenia,0.03,0.64,0.0001,0.03,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0599
SLB,Solomon Islands,0.71,0.19,0,0.0032,0.0033,0,0,0,0,0.006,0,0,0,0,0.05,0.0032,0.0344
SOM,Somalia,0.0005,0,0,0.995,0,0,0.0006,0,0,0.0003,0,0,0,0,0.0007,0.0004,0.0025
ZAF,South Africa,0.7384,0.071,0.0016,0.0169,0.0032,0,0.015,0.0002,0,0.0004,0,0,0.0004,0.0007,0.0796,0.064,0.0086
KOR,South Korea,0.179,0.1069,0,0.0015,0.2255,0,0,0,0.0006,0.0006,0,0,0.0067,0.0009,0.0105,0.4542,0.0135
ESP,Spain,0.046,0.7596,0.0003,0.0304,0.0002,0,0,0,0,0,0,0,0,0,0,0.16,0.0035
LKA,Sri Lanka,0.0123,0.0603,0,0.096,0.7026,0,0.1246,0,0,0,0,0,0,0,0,0.0005,0.0037
KNA,St. Kitts and Nevis,0.6479,0.25,0,0.0028,0,0,0.0095,0,0,0,0,0,0,0,0,0.0888,0.001
LCA,St. Lucia,0.3108,0.611,0,0.001,0,0,0.003,0,0,0,0,0,0,0,0,0.059,0.0152
VCT,St. Vincent and the Grenadines,0.288,0.611,0,0.001,0,0,0.003,0,0,0.0017,0,0,0,0,0,0.019,0.0763
SDN,Sudan,0.0213,0.0502,0,0.71,0,0,0,0,0,0,0,0,0,0,0.2,0.01,0.0085
SUR,Suriname,0.252,0.228,0.0005,0.196,0,0,0.274,0,0,0,0,0,0,0,0.0495,0,0
SWZ,Swaziland,0.5343,0.25,0,0.0066,0,0,0.0015,0,0,0.0045,0,0,0,0,0.1881,0.0118,0.0032
SWE,Sweden,0.7406,0.02,0.0021,0.06,0,0,0,0,0,0,0,0,0,0,0,0.16,0.0173
CHE,Switzerland,0.3315,0.4741,0.0022,0.0411,0.0032,0,0.0031,0,0,0.0005,0,0,0,0,0,0.1342,0.0099
SYR,Syria,0.0566,0.0186,0,0.902,0,0,0,0,0,0,0,0,0,0,0,0.0146,0.0082
TWN,Taiwan,0.0405,0.0136,0,0.0045,0.2508,0,0,0,0,0.0007,0.2078,0,0.0006,0.4005,0.0026,0.07,0.0084
TJK,Tajikistan,0.0202,0,0.0003,0.9,0.0008,0,0,0,0,0.0006,0,0,0,0,0,0.025,0.0532
TZA,Tanzania,0.2583,0.2194,0,0.36,0.0002,0,0.0075,0.0003,0,0.0029,0,0.0002,0,0.0005,0.1369,0.0089,0.0048
THA,Thailand,0.0034,0.0026,0,0.1,0.87,0,0.0008,0.0003,0,0.0001,0,0,0.0011,0.0009,0.0071,0.01,0.0037
TGO,Togo,0.2,0.28,0,0.14,0,0,0,0,0,0.0043,0,0,0,0,0.37,0.0025,0.0032
TON,Tonga,0.8121,0.13,0,0,0.0012,0,0.001,0,0,0.0354,0,0,0,0,0,0.0043,0.0159
TTO,Trinidad and Tobago,0.3399,0.2189,0,0.0503,0,0,0.184,0,0,0,0,0,0,0,0,0.1346,0.0723
TUN,Tunisia,0.0005,0.003,0.0001,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.0063
TUR,Turkey,0.0037,0.0005,0.0002,0.9858,0,0,0,0,0,0,0,0,0,0,0,0.005,0.0048
TKM,Turkmenistan,0.09,0,0.0001,0.89,0.0001,0,0,0,0,0.0002,0,0,0,0,0,0.01,0.0096
TUV,Tuvalu,0.96,0.0099,0,0.001,0,0,0,0,0,0.0151,0,0,0,0,0,0.007,0.0071
UGA,Uganda,0.4329,0.4001,0.0001,0.12,0.0001,0,0.0058,0.0001,0,0.0016,0,0.0001,0,0.0001,0.0337,0.0043,0.0011
UKR,Ukraine,0.848,0.004,0.0015,0.0099,0.001,0,0,0,0,0,0,0,0,0,0,0.1348,0.0009
ARE,United Arab Emirates,0.0417,0.0297,0,0.6748,0.0035,0,0.2225,0,0,0.01,0,0,0,0,0,0.0136,0.0041
GBR,United Kingdom,0.5554,0.0709,0.0042,0.0434,0.004,0.0001,0.0131,0.0068,0,0.0001,0.0001,0.0003,0,0.0036,0.0013,0.2616,0.0351
USA,United States of America,0.4947,0.2507,0.019,0.009,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025
URY,Uruguay,0.3473,0.471,0.003,0.0003,0,0,0,0,0,0.0012,0,0,0,0,0,0.172,0.0052
UZB,Uzbekistan,0.05,0,0.0001,0.93,0,0,0,0,0,0,0,0,0,0,0,0.0179,0.002
VUT,Vanuatu,0.73,0.12,0,0,0.002,0,0,0,0,0.05,0,0,0,0,0.0451,0.0331,0.0198
VEN,Venezuela,0.15,0.8,0.0006,0.001,0.0004,0,0,0,0,0.0003,0,0,0,0.0002,0.0019,0.0439,0.0016
VNM,Vietnam,0.011,0.08,0,0.0011,0.49,0,0.0006,0,0,0.0037,0,0,0,0.0093,0.04,0.364,0.0003
YEM,Yemen,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.01
ZMB,Zambia,0.5153,0.3547,0.0001,0.0055,0.0003,0,0.005,0,0,0.0111,0,0,0,0,0.1049,0.0018,0.0013
ZWE,Zimbabwe,0.6293,0.1895,0.0009,0.0107,0,0,0.0015,0,0,0.0021,0,0,0,0,0.1354,0.0256,0.0049
